Регион ;Федеральный округ;дата;значение;28.03.2020;29.03.2020;30.03.2020;31.03.2020;01.04.2020;02.04.2020;03.04.2020;04.04.2020;05.04.2020;06.04.2020;07.04.2020;08.04.2020;09.04.2020;10.04.2020
Алтайский край;Сибирский федеральный округ;28.03.2020;;;;1;1;1;1;;3;;5;;6;3;
Амурская область;Дальневосточный федеральный округ;29.03.2020;;;1;;;;;;3;;;;;;
Архангельская область;Северо-Западный федеральный округ;30.03.2020;1;;;4;;;;1;;;6;;;10;
Астраханская область;Южный федеральный округ;31.03.2020;1;;;;2;;;3;;;;;;16;
Белгородская область;Центральный федеральный округ;01.04.2020;1;;1;3;;;1;;1;;4;3;4;;8
Брянская область;Центральный федеральный округ;02.04.2020;1;1;;;;2;;2;12;;5;32;1;40;
Владимирская область;Центральный федеральный округ;03.04.2020;;;;2;;1;;;;;2;7;2;24;4
Волгоградская область;Южный федеральный округ;04.04.2020;3;;;;;4;;;;;7;11;;;2
Вологодская область;Северо-Западный федеральный округ;05.04.2020;;;;2;;7;3;;1;;10;;4;8;3
Воронежская область;Центральный федеральный округ;06.04.2020;5;;;;2;4;;;2;;9;;10;;4
Еврейская автономная область;Дальневосточный федеральный округ;07.04.2020;;;;;;;;3;;;;;3;;2
Забайкальский край;Дальневосточный федеральный округ;08.04.2020;6;;;;;;;;;;;;3;;
Ивановская область;Центральный федеральный округ;09.04.2020;3;5;;2;;2;;2;10;;10;14;;13;
Иркутская область;Сибирский федеральный округ;10.04.2020;;;1;1;1;;4;1;;;3;3;;3;4
Кабардино-Балкарская Республика;Северо-Кавказский федеральный округ;;;;;2;;2;;;;;;5;10;;4
Калининградская область;Северо-Западный федеральный округ;;;3;;1;;;7;;;;;29;1;3;10
Калужская область;Центральный федеральный округ;;;;;1;;;2;;1;;1;4;;;7
Камчатский край;Дальневосточный федеральный округ;;;;;;;;;;;2;;;;3;
Карачаево-Черкесская Республика;Северо-Кавказский федеральный округ;;;;;;;;;;;;;3;2;1;3
Кемеровская область;Сибирский федеральный округ;;;;;;;;;;;;2;;2;;4
Кировская область;Приволжский федеральный округ;;;;1;3;;;;3;3;;;2;;8;1
Костромская область;Центральный федеральный округ;;;1;;;1;;;;5;;1;;;3;3
Краснодарский край;Южный федеральный округ;;;8;;;;5;;;;;11;11;24;20;20
Красноярский край;Сибирский федеральный округ;;;4;;2;;6;5;17;;4;3;;7;;
Курганская область;Уральский федеральный округ;;;;;;;;;;1;;;;1;;
Курская область;Центральный федеральный округ;;;;;;;3;;1;;;;;6;10;1
Ленинградская область;Северо-Западный федеральный округ;;;4;2;2;3;6;11;10;6;10;5;;32;18;17
Липецкая область;Центральный федеральный округ;;;3;1;1;;1;4;3;;;8;;18;4;7
Магаданская область;Дальневосточный федеральный округ;;;;;;1;;;;;;;;;;
Москва ;Центральный федеральный округ;;;114;197;212;387;267;595;448;434;536;591;697;660;857;1124
Московская обл.;Центральный федеральный округ;;;36;27;7;;15;43;34;49;45;82;67;95;199;182
Мурманская область;Северо-Западный федеральный округ;;;;2;2;6;;4;;;;3;;25;1;23
Нижегородская область;Приволжский федеральный округ;;;3;;;1;;13;;;22;9;;24;7;32
Новгородская область;Северо-Западный федеральный округ;;;;2;;;;;;;;2;;;7;6
Новосибирская область;Сибирский федеральный округ;;;2;1;1;;1;;;;1;;;2;5;3
Омская область;Сибирский федеральный округ;;;;3;;;4;2;;1;;;4;1;;2
Оренбургская область;Приволжский федеральный округ;;;2;;1;;;5;;;;2;;8;;3
Орловская область;Центральный федеральный округ;;;;;;;;;;3;;1;5;;5;7
Пензенская область;Приволжский федеральный округ;;;;5;;5;4;;11;;;5;19;1;;15
Пермский край;Приволжский федеральный округ;;;1;;2;;;7;1;;;;11;;9;4
Приморский край;Дальневосточный федеральный округ;;;;;;2;1;;2;;;;1;7;5;
Псковская область;Северо-Западный федеральный округ;;;;;3;;;;;;;1;4;;2;
Республика Адыгея;Южный федеральный округ;;;1;;3;;;1;;2;;6;;;;7
Республика Башкортостан;Приволжский федеральный округ;;;;1;;2;1;2;;;;;2;4;6;18
